GCIN,period,n_days,nse,kge,bias_ratio
105,pre,2754,0.34657856521554575,0.4572699722179181,1.2628963170194483
106,post,4218,0.26340788521351977,0.19102971025974458,0.6514920157590238
106,pre,3267,0.2928710496997202,0.23661227543624552,0.5822268163849312
107,post,3725,0.3151811864816636,0.2641049850405187,0.7361269061273058
107,pre,2131,0.07612458088557106,-0.024739246430237838,0.5372653575718026
108,post,3566,0.4070888016754102,0.36624624883919654,1.102760069850537
108,pre,2231,0.3558290860840704,0.3044231692160977,1.0897228381841022
109,post,4066,0.48386813762144143,0.4244867968920203,0.6805676447690924
109,pre,3109,0.39024290675557605,0.3255887251942231,0.6073151490209875
110,post,3913,0.46612622679577653,0.2663457646935544,0.5453538002554915
110,pre,2888,0.37711180623252694,0.2742097096440922,0.5532533645323748
111,post,3920,0.5483095338720594,0.5954263331133615,1.0033685467284714
111,pre,4464,0.45759012962491497,0.5195924922559487,1.099708634661342
112,post,3163,0.28327930100592313,0.4034432567133611,1.0087194545967775
112,pre,3136,0.3763935362419999,0.45905506674303664,0.9705014253683233
113,post,4250,0.4055648268922857,0.3458573380709601,0.7988011059084686
113,pre,4599,0.40171613853624166,0.35543422308694417,0.863041017247319
114,post,3319,0.383695232439039,0.45172944059580333,0.964931842288563
114,pre,3292,0.38916143780246937,0.36558722706885527,0.9058873589943254
115,post,3338,0.4863548300482753,0.3989790532655566,1.4604359307011756
115,pre,3956,0.4076524267968882,0.394188146620867,1.3733560630792674
116,post,3653,0.4287578168545808,0.43968882102893647,0.7212517295459311
116,pre,2553,0.2774497941669224,0.2392467857148246,0.6627199516393659
117,post,2236,0.15925534162424992,0.40525107618982825,1.3665635528234679
117,pre,2957,0.12854304233853842,0.21054385775717077,1.5403098937995747
118,post,2681,0.19519654484285254,0.1774242711678372,0.9955337402931579
118,pre,1565,0.2757404450383505,0.21223820501269564,0.8092855225506032
119,post,2151,0.2601756682448927,0.3523938978571396,1.2715277767243192
119,pre,1349,0.23994840776497817,0.23438170990890417,1.176505130782603
120,post,2584,0.3311763753176046,0.39934966806246375,1.0947401232139145
120,pre,3404,0.34700200683225735,0.3735924375747681,0.9153551498164267
121,post,1379,0.468092466917155,0.5622660112747349,0.7849166147892833
121,pre,2978,0.17896326053828515,0.4700265866616602,0.8521954073648764
122,post,2032,0.5318471183396225,0.4735918721288713,1.2351820072124822
122,pre,2577,0.07728673683971066,0.2688450117876683,1.0850936226775538
123,post,2199,0.18269450956969324,-0.022145100681249197,0.5302702150221184
123,pre,2438,0.20942463913214882,-0.021141727410397326,0.4466934838653992
124,post,2224,0.12079244170608794,0.0682802762678919,0.6426901361054967
124,pre,2801,0.11720314108536167,-0.08016967348112791,0.5134428237230668
125,post,2941,0.24091725137289777,0.09746584742110653,0.6817088363585921
125,pre,1836,-0.01873409005192528,0.14972365500096663,0.8262350774129377
126,post,3208,0.19420924139076012,0.11642172506865667,0.8222509250628326
126,pre,2149,0.27900724347596173,0.3922033166144884,0.8143181374787549
127,post,1585,0.2958600328546349,0.24266565611652868,1.663807933232541
127,pre,1246,-0.08309307610818473,0.19888493847523003,1.6034745175216285
128,post,2866,0.2323166609378392,0.2502822308466526,1.3889865058310045
128,pre,2049,0.2855897083971012,0.23009839397409182,1.2805655594307583
129,post,3136,0.029395411018229067,0.12913908975656307,1.7543775656187641
129,pre,4131,0.25783256537445665,0.527868162973697,1.1568190828745457
130,post,1538,0.3316287448750186,0.3124420773778518,1.4130581238102862
130,pre,1931,0.21659131279128474,0.19038721287789417,1.1865723316963783
131,post,3594,0.27843160204238204,0.20072854051247546,0.5570779560198618
131,pre,4612,0.19837416620445303,-0.004448601025862198,0.43288639005041707
132,post,2613,0.501957185308888,0.6559524628490894,1.1533766485813441
132,pre,2694,0.4741318513015417,0.5069089581990092,0.8548936412394211
133,post,2450,0.1098443466524347,0.19855097031599378,1.7051206260893412
133,pre,2599,0.27559678826972533,0.3272675884610564,1.0051461173664367
134,post,2749,0.5245148887077034,0.7327625305918413,0.913505887751568
134,pre,2120,0.5434413669367797,0.5925246915402324,0.7659424798528295
135,post,2779,0.08911951002045693,0.38086612083526183,1.4680911522673883
135,pre,3549,0.37223270479938875,0.5790211101625196,1.0114232056170869
136,post,3211,0.4437704076323,0.5026750132006441,1.0531166103116634
136,pre,1969,0.38757783340472685,0.36922488331567793,0.9209376407413137
137,post,3080,0.2879522462807361,0.27714060235772586,1.1037656328888188
137,pre,3275,0.30362619221904075,0.315611685312675,0.9219229952214328
138,post,4127,0.4437188459256999,0.5323994464376989,0.9633315149893866
138,pre,2408,0.38283437627004135,0.3846061570901823,0.8632827581792489
139,post,2656,0.15588433416553327,0.07123199100116906,0.8632019211794716
139,pre,1150,0.40390336390903503,0.31962107386117666,0.7463179072426952
140,post,3721,0.34828643055229047,0.24675588820009486,0.5719496326085713
140,pre,2300,0.2508784902994292,0.08113930704722727,0.49861058740792624
141,post,2526,0.18722010947423817,0.0602656151184332,0.31861840679042275
141,pre,2148,0.20837632320046107,0.1630731795059841,0.4523907657861716
142,post,1630,0.3942883222693909,0.5162047503812968,1.3092835385004156
142,pre,1335,0.5304751360066949,0.5942941087887587,1.0558686474267127
143,post,2899,0.1588230277938053,0.5475822289077206,1.2491855615346867
143,pre,1293,0.07781860200646085,0.5485226479723642,1.141107389756178
