GCIN,pre_epsilon_mean,pre_qobs_valid_days,pre_n_recession_days_predicted,pre_nse,pre_kge,pre_fold_nse_mean,pre_fold_nse_std,pre_fold_kge_mean,pre_folds_scored,post_epsilon_mean,post_qobs_valid_days,post_n_recession_days_predicted,post_nse,post_kge,post_fold_nse_mean,post_fold_nse_std,post_fold_kge_mean,post_folds_scored,delta_epsilon_mean
62,1.8510232081892763,4104,4104,0.3383464455035984,0.2062464418220643,0.25743192022081524,0.45861040172162787,0.20280530318762408,5,0.9705675527891953,2523,2523,0.5422985095081696,0.5764838694213978,-0.06727730733181794,1.1948363243013749,0.2010442655332946,4,-0.8804556554000811
63,5.422496366597402,2045,2045,0.7010303588265561,0.5293669143954751,0.6987490020150413,0.07223060733832552,0.5039976950524765,2,3.5343428359243876,2936,2936,0.5955124141240034,0.4348865701160475,0.658374765685146,0.15729923663653514,0.5176935018562321,4,-1.8881535306730144
64,7.537356732402743,2143,2143,0.7399280776114121,0.6757239173150298,0.6908199664554799,0.09559626236707508,0.5851989160470322,3,7.13004126623501,2286,2286,0.4852355155075644,0.45180319793824164,0.4531398986655316,0.22240557722592197,0.470103647704606,4,-0.4073154661677325
65,10.30431676383775,832,832,0.39491995933225577,0.15045774764418018,0.4018966000500647,0.01822550670896253,0.16733140979261568,2,11.788051194841529,818,818,0.20452963915696742,-0.08441043866762765,0.1275689566885183,0.13950844996646222,-0.09478146917141064,4,1.4837344310037786
66,4.71498431305035,4112,4112,0.4933805531004595,0.4684628459890494,0.5035174159454833,0.29000211150920424,0.5008347202614959,5,3.892564778353218,2535,2535,0.6631667957471299,0.7459000096888551,0.15341187423542368,1.018592244821163,0.3916796718470147,4,-0.8224195346971324
67,4.606105611129232,2109,2109,0.7487737404478798,0.7592550857159115,0.7399837826773916,0.061579613971542546,0.7543754460872522,2,2.793803209431427,2983,2983,0.5518384599263858,0.5588584983947843,0.54931658599189,0.22356301082248628,0.5719454277555912,4,-1.812302401697805
68,7.5415164976941576,2212,2212,0.5046437794621548,0.35552328082351736,0.4575939408269658,0.11958108313653594,0.27607658940689195,3,3.876082751676775,2003,2003,0.6218718859195363,0.5428273240460367,0.6303928072013156,0.10493112357939287,0.5373353076632118,4,-3.6654337460173827
69,4.9646450781487275,2051,2051,0.6591957959359372,0.7059540805414063,0.5984967304071519,0.12598893030056077,0.6520002592412674,3,3.0417768991597423,2270,2270,0.6845801686532131,0.7294707687427238,0.5539403578278677,0.325528936992535,0.6118169774874302,4,-1.9228681789889852
70,5.569610809685261,2550,2550,0.4053135501483546,0.2617943720152911,-0.7855170050666863,2.058161640142574,0.37589970018130286,3,4.417376386575045,3304,3304,0.3840228544699994,0.25332943638051963,0.28123193889477915,0.23787358057073552,0.15805327785758147,4,-1.1522344231102162
71,14.125545670059502,3402,3402,0.363401831363501,0.34877101824837065,0.13146830010769453,0.4553133119649316,0.09619570309682549,4,11.701385149408345,1951,1951,0.29725848624933693,0.21395693007804684,-0.422979016516505,1.3292022235256613,-1.0245880253406425,4,-2.4241605206511565
72,4.5376238876778325,3016,3016,0.6654103758650567,0.5839758739164795,0.6668542222866991,0.119459370665744,0.5787101618043429,3,2.454763567375957,2421,2421,0.7169938660157913,0.7329168058371905,0.6113956819871014,0.14396637484895758,0.484539803679835,4,-2.0828603203018754
73,0.09879682390082493,5379,5379,0.7670148803837684,0.8257102155739438,0.7585844455729793,0.07090792958342684,0.8052404260852463,5,0.06155013566574061,4489,4489,0.7077281915703652,0.8004947821729029,0.7100126871862518,0.15367195441213352,0.7154772150090603,4,-0.03724668823508433
74,0.17063651897220597,4598,4598,0.3094634170060462,0.4164304575290181,0.42857427663292197,0.2768454370520496,0.5132915263044039,5,0.13189414900710036,3559,3559,0.6067428382034807,0.7272084633475827,0.6511663536989263,0.12899721781750667,0.6068331839124088,4,-0.038742369965105605
75,2.3145890481312095,5068,5068,0.4705713195820588,0.2840477784418922,0.4659828256743214,0.07257923707685408,0.2965099870019114,5,2.394316547400895,3261,3261,0.5481388740781336,0.6237470443271637,0.4445220506738916,0.14240060173244995,0.46390448232345904,4,0.0797274992696857
76,0.10621298394403267,4136,4136,0.7005393102877719,0.6667419740944434,0.6557456808133267,0.16388371391406292,0.6079735493290487,4,0.09447074854647287,4085,4085,0.746650229410077,0.7988391305169323,0.7304251684412923,0.0466228892666896,0.7268678694084314,4,-0.011742235397559794
77,0.9692656307910191,4073,4073,0.690895869207891,0.5281500172293201,0.6538964764769059,0.15875408311083322,0.46362942491574366,4,0.8301313059776348,3877,3877,0.5162609491530628,0.7190279421321957,0.5650094469774535,0.24246155945485293,0.5388191496822261,4,-0.13913432481338428
78,1.27437110871679,3729,3729,0.6443850512920051,0.42553979201927694,0.6367991985064739,0.06452015358594151,0.4128494325782522,3,0.8390517019697015,3752,3752,0.6344273134772156,0.6633609486739225,0.5071405676073536,0.12926530895084912,0.40518497672007536,4,-0.43531940674708847
79,2.6919245594972367,2460,2460,0.69941979299169,0.5460678950100628,0.6767666469785136,0.09164709955292052,0.5425395391936428,2,1.7456028864682067,3432,3432,0.8328525944496703,0.7531422970403568,0.6538821745916179,0.1843057112296847,0.5933885046647345,4,-0.94632167302903
80,1.91810381800625,5950,5950,0.7106893065533304,0.647001732496282,0.6898525816409247,0.15425673469295587,0.5826637989507795,5,1.8348669612035156,3900,3900,0.5997614226434076,0.7379566589647131,0.4309663659150421,0.3308113857050411,0.4994011728031824,4,-0.0832368568027344
81,1.7829633434143748,3302,3302,0.5685387099385145,0.6376018086923616,0.5268787395878195,0.16553282376669826,0.5396335509210334,3,1.617109898780967,3674,3674,0.6916349934095379,0.676871865224512,0.5967666009444625,0.15138889196252478,0.5664448779150283,4,-0.1658534446334079
