GCIN,pre_epsilon_mean,pre_qobs_valid_days,pre_n_recession_days_predicted,pre_nse,pre_kge,pre_fold_nse_mean,pre_fold_nse_std,pre_fold_kge_mean,pre_folds_scored,post_epsilon_mean,post_qobs_valid_days,post_n_recession_days_predicted,post_nse,post_kge,post_fold_nse_mean,post_fold_nse_std,post_fold_kge_mean,post_folds_scored,delta_epsilon_mean
45,0.29110320086104546,2470,2470,0.6763240982115722,0.7727883963091766,0.5752481602451169,0.3179704604383013,0.5973764678669437,3,0.2327794906270607,3198,3198,0.7563594902903232,0.7424912888998231,0.7483076389153064,0.11751763568975437,0.7217524655127019,4,-0.05832371023398478
46,0.8323384940900473,4538,4538,0.7366800296556215,0.7906519734773861,0.6668692428810209,0.2139763345283988,0.7486974587687671,4,0.9602442936295311,3574,3574,0.8216453386127709,0.831839361494017,0.7847491857014763,0.11623763948066727,0.7380614363276758,4,0.12790579953948378
47,0.041436576439903,2172,2172,0.7233923023636373,0.847804192626636,0.7101145328152416,0.08686266873997792,0.8326159003939304,2,0.038849810449081444,3673,3673,0.7400697711515762,0.8709483505962153,0.6777203010213477,0.07603571748706243,0.7722234714157102,4,-0.0025867659908215546
48,0.059840347461407366,2259,2259,0.7332320835531003,0.7862626863275959,0.007531010657261324,1.2521651938722251,0.6228723212955359,3,0.061700270177926,3581,3581,0.7705556769457551,0.7555016263531102,0.7790720386372757,0.08234384242265731,0.7797829362013801,4,0.001859922716518636
49,0.17137266944054388,2609,2609,0.8400592318740773,0.8820835155458117,0.8393743680273507,0.016059569809601524,0.878812966697615,2,0.18598556948559752,4153,4153,0.834005494989243,0.8732303515619978,0.8230824284319288,0.04948283835929593,0.8423256162945119,4,0.01461290004505364
50,0.22991891806754478,2295,2295,0.717649980559427,0.7762085072307044,0.7212738854300366,0.02486456507023765,0.7834499341684327,2,0.1769984456248051,3498,3498,0.7048320264169394,0.8095102304719322,0.6921412819012404,0.041373811121402246,0.6885761174515173,4,-0.052920472442739674
51,0.09188208670745669,5097,5097,0.802708860752435,0.8387167868159775,0.7987406682769227,0.037167196532987334,0.7863303412148726,4,0.09517712430203364,4297,4297,0.8529851062402865,0.8713170464939589,0.8413508608877147,0.032547820146182994,0.830219280276041,4,0.003295037594576944
52,0.1335035552475116,3645,3645,0.8106193768666112,0.8771783699963319,0.807223483408619,0.03956425919067522,0.8322369163548622,3,0.1485409372372147,3802,3802,0.8247457430627161,0.7603999780738846,0.8105471717080163,0.0230702653848176,0.7064476072696177,4,0.015037381989703114
53,5.919063226095683,2123,2123,0.6060682890280213,0.4748996798521954,0.6330524046640451,0.15594916196040082,0.5025987329200949,2,5.238865784580813,3097,3097,0.358959334225865,0.16351216353997045,0.2734895565007084,0.12305044496893808,0.21198166591469852,4,-0.6801974415148697
54,0.08084955282457992,3193,3193,0.8521389042781905,0.9032678203976292,0.8498224944055165,0.020351497374545773,0.878665237072366,3,0.07924483372722711,3955,3955,0.8447935847002346,0.8149860075383563,0.8200991787494869,0.05992204353914506,0.7844718224235174,4,-0.0016047190973528108
55,3.1773383112579756,1924,1924,0.7430291077685489,0.7069808581084356,0.7687808455460675,0.07323849844847077,0.7052264335498122,3,1.9708679580692212,2394,2394,0.7631362905644402,0.7778512664203828,0.6973512067818265,0.12788599129869502,0.7063979345665314,4,-1.2064703531887544
56,7.219955803928729,2495,2495,0.34761647579109467,0.2801441946543578,0.46497651933780393,0.2094715636088975,0.3638831818258514,3,5.512235343170178,3047,3047,0.4038760094143873,0.32494792615059065,0.5628472230100696,0.17970812597500635,0.4695319986301988,4,-1.7077204607585506
57,8.037621645067256,2220,2220,0.5181245333072193,0.3298800619216188,0.5152734435433982,0.16952186948629858,0.30860279432417254,3,6.433765731574886,1957,1957,0.6205167557264473,0.5070196088564906,0.5170302676049265,0.12723198949770967,0.4175137245186311,4,-1.60385591349237
58,0.6106758077067853,2304,2304,0.6762592469301931,0.7041367210341001,0.6408762853727067,0.048313224715017936,0.6638795201533102,3,0.347296054500006,3465,3465,0.6215648794565786,0.6139656493474928,0.5651314616381666,0.04930453197564731,0.5445947821366656,4,-0.2633797532067793
59,0.15377935453245256,2341,2341,0.7773299295276364,0.8548269197539088,0.77737040008659,0.005501029668362802,0.7750316922282906,2,0.14762516579637489,3506,3506,0.7739645700336657,0.6781022249720083,0.7550324865687079,0.0668549350318458,0.6564681578160682,4,-0.006154188736077676
60,0.06831812723392165,2303,2303,0.8220911837337351,0.8437223350978817,0.8220218103778794,0.002113460320486359,0.8401336409101186,2,0.06840897010310623,3692,3692,0.8377690168092857,0.831822625149808,0.8213148024976696,0.05510862569454298,0.7882726373958544,4,9.084286918457918e-05
61,3.2863186808898237,1937,1937,0.6758708586282571,0.5621879443671395,0.6925932272247913,0.09620934010276119,0.5840583825117129,2,2.7304065606349104,3627,3627,0.5123597594193092,0.35621472595551773,0.46055931295383246,0.10971912826259288,0.3412928499873826,4,-0.5559121202549133
