GCIN,period,n_days,nse,kge,bias_ratio
781,pre,4069,0.2252156094867479,0.3962771636080693,1.1016960503641349
792,post,3062,-1.2870979495848474,0.10148155533980174,1.4929480353838185
792,pre,2222,-0.31789293315326317,0.3238457650459228,1.2385762479947335
803,post,3482,0.021624792859806674,0.0497871907411741,1.1027668618736766
803,pre,2223,0.17192491793792308,0.26857482963769375,1.0548692187687272
814,post,3576,-0.13372499857453746,-0.11174567576252925,1.509908749171248
814,pre,3186,-0.010676561801793882,-0.061768215223889644,0.9596707903139291
825,post,4052,0.12235048440570617,0.0935352169245498,0.9182024171643539
825,pre,3306,0.13270113440707487,0.08090569463862263,0.7857699924827817
836,post,4059,0.03725712055411445,0.028167260352681023,0.9445200141617317
836,pre,2792,0.19501364077597538,0.23968932504822715,0.9512212688215242
847,post,2794,0.14700247711958858,0.13622930532945643,0.7626769287840932
847,pre,2110,0.20151379347145992,0.2084079644919482,0.8543256576832183
848,post,3115,0.26360911973519896,0.33984565285744295,0.926740120740992
848,pre,1230,0.3341196984833903,0.3631687821210924,0.8350359382967133
859,post,1846,-0.06430531474459356,-0.31555056978585516,1.573191772975088
859,pre,2982,0.04089899628819205,-0.11685332395841663,0.7088300145354421
870,post,2817,-0.12871574519009,-0.03739993905176786,1.5820374117707006
870,pre,4362,0.14610015818355426,0.19380493249047814,0.8617366016304349
881,post,3280,0.18951079344395272,0.40132338358254915,1.2717444149188417
881,pre,3483,0.2562621063300785,0.4096843962068911,1.1180757758381357
892,post,1803,-0.11845627240842949,-0.22708736654020933,1.3994804627037027
892,pre,1701,0.0485839638210801,-0.0063128538266057355,0.781783944443252
903,post,2393,-0.3375730737299727,-0.21789882095519975,1.7640941792117348
903,pre,3884,0.1050278693912764,0.10837876568093696,0.9523301791683911
914,post,1278,-0.11689657587991276,-0.03318729163316281,1.3416202185513588
914,pre,1592,0.07988045530819665,0.03084075193115976,0.6798681945367617
925,post,1518,0.06681363864132817,0.32319985841881027,1.3984705094534862
925,pre,1142,0.3700432376558227,0.3078851376062134,0.6979406743585161
936,post,2947,0.10066877536162466,0.2934412104705909,1.0340173333435108
936,pre,4095,0.20009637506568545,0.15668768091995022,0.7068888957335959
947,post,2358,0.2671867656390612,0.35250165398787325,0.9648903324443583
947,pre,1532,0.27529369191566133,0.29681099870399097,0.7797555929330261
958,post,2877,0.4573511464663387,0.36864049200411075,0.6977964993141554
958,pre,2859,0.36480914998106917,0.37654486535910336,0.8564819358899299
959,post,1748,0.061145722790448165,0.3490779553245241,1.1580547043089153
959,pre,630,0.2263137827789189,0.31621102330450046,1.0045044680110524
970,post,1508,-0.19977373961120493,-0.08331164929914525,1.9377560227510573
970,pre,3331,0.30771448586120786,0.45926939450658466,1.1483177008532743
981,post,1807,-0.028519630966221454,0.1868861334821006,1.6674986049849077
981,pre,4017,0.3005626274553903,0.513676426143817,1.1611199922252444
992,post,3264,-0.31028582839803254,-0.10364616098936108,0.5787403548735804
992,pre,1941,-0.21530529451915403,-0.03500276541777336,0.5411153296723009
1003,post,2521,-0.6736133585256643,-0.20928491325941656,2.1104800361248506
1003,pre,3650,0.2602271778427856,0.43879197548223237,1.163765995952014
1014,post,2287,0.1636114514508542,0.3450268731106212,1.163884935613937
1014,pre,1592,0.1555197714928528,0.12026043586531088,0.8553994696384879
1025,post,1198,-1.8167580827859222,-0.767888495324542,2.569541742732538
1025,pre,3365,0.1008447700742473,0.3145881932240516,1.1407724493602327
1036,post,3393,0.06610534594234452,-0.19163068480186407,0.3913081660204045
1036,pre,2138,0.08613522877495916,-0.0676203884146307,0.650753534386831
1046,post,1796,-0.030237915962962658,-0.47843332828540075,0.1923634450833574
1046,pre,1659,-0.016522040974047858,-0.43376109964518084,0.2767523871077041
1057,post,2042,-0.02316650924055308,-0.5202808163721537,0.1862420348897548
1057,pre,1261,-0.012691425799339573,-0.3432839360703508,0.4533680361171717
1069,post,2636,0.38594302873669084,0.3974876549723877,0.8367170562957046
1069,pre,1291,0.33642744420940474,0.3306148357036863,0.8458440353033022
