pre_epsilon_mean,post_epsilon_mean,delta_epsilon_mean,pre_epsilon_arithmetic_mean,post_epsilon_arithmetic_mean,pre_qobs_valid_days,post_qobs_valid_days,pre_n_recession_days_predicted,post_n_recession_days_predicted,GCIN,fold
0.13867206871509552,0.1484302431344986,0.009758174419403076,0.027896102517843246,0.027453990653157234,706,1940,706,1940,2082,0
0.1749403327703476,0.17910884320735931,0.004168510437011719,0.025882532820105553,0.025937385857105255,1242,3286,1242,3286,2104,0
0.1681300550699234,0.1627042144536972,-0.005425840616226196,0.022020969539880753,0.022120840847492218,548,1233,548,1233,2194,0
0.08162007480859756,0.07802823185920715,-0.0035918429493904114,0.022103343158960342,0.022404104471206665,542,996,542,996,2206,0
0.20644956827163696,0.20845425128936768,0.002004683017730713,0.03171726316213608,0.031683649867773056,301,860,301,860,2268,0
0.21601161360740662,0.21786363422870636,0.0018520206212997437,0.02799191139638424,0.027948131784796715,666,1762,666,1762,2311,0
0.16650839149951935,,,0.037210483103990555,,16,0,16,0,2330,0
0.15792500972747803,,,0.026858169585466385,,89,0,89,0,2376,0
0.48650503158569336,0.49935615062713623,0.012851119041442871,0.05227125436067581,0.053597643971443176,660,1943,660,1943,2384,0
0.15438959002494812,0.15946099162101746,0.005071401596069336,0.03643953800201416,0.03701566904783249,3379,2715,3379,2715,2409,0
0.5709993243217468,0.5546090602874756,-0.01639026403427124,0.05455411598086357,0.05442257225513458,681,2086,681,2086,2410,0
0.5783941745758057,0.5608121156692505,-0.017582058906555176,0.05949276685714722,0.059555843472480774,2169,3659,2169,3659,2412,0
0.2069881409406662,0.21024277806282043,0.003254637122154236,0.0473426952958107,0.04714661091566086,4939,4036,4939,4036,2415,0
0.23153156042099,0.2126912772655487,-0.018840283155441284,0.0415501594543457,0.04084562510251999,5217,4292,5217,4292,2416,0
0.41839808225631714,0.42228254675865173,0.0038844645023345947,0.05450897663831711,0.05494103580713272,3533,2868,3533,2868,2417,0
0.5210860967636108,0.504875123500824,-0.016210973262786865,0.05522378161549568,0.05443744733929634,4720,3613,4720,3613,2420,0
0.64988774061203,0.676837146282196,0.026949405670166016,0.08154341578483582,0.08196994662284851,544,795,544,795,2421,0
0.5081884860992432,0.49899381399154663,-0.009194672107696533,0.06190234795212746,0.0607539601624012,5195,3984,5195,3984,2423,0
0.32846421003341675,0.31964612007141113,-0.008818089962005615,0.04856262356042862,0.04804427549242973,4202,3372,4202,3372,2428,0
0.11120665818452835,0.11000103503465652,-0.0012056231498718262,0.03433901444077492,0.03419499844312668,3019,3507,3019,3507,2430,0
0.08460354059934616,0.08361213654279709,-0.0009914040565490723,0.026252256706357002,0.025791868567466736,2324,2429,2324,2429,2445,0
0.1100585013628006,0.11394686251878738,0.003888361155986786,0.03414106369018555,0.03447847068309784,4262,3373,4262,3373,2453,0
0.07272029668092728,0.06998021900653839,-0.0027400776743888855,0.025066599249839783,0.024762412533164024,3471,4121,3471,4121,2457,0
0.7287534475326538,0.593490719795227,-0.13526272773742676,0.05437376722693443,0.05354594811797142,390,3241,390,3241,2458,0
0.800581157207489,0.6336080431938171,-0.16697311401367188,0.057624347507953644,0.055891022086143494,374,3002,374,3002,2460,0
0.4301007091999054,0.4199536442756653,-0.010147064924240112,0.04973074048757553,0.04919801279902458,3363,2714,3363,2714,2483,0
0.1642419546842575,0.15125851333141327,-0.012983441352844238,0.03986097499728203,0.039306771010160446,5122,3949,5122,3949,2490,0
0.40369245409965515,0.3810919523239136,-0.022600501775741577,0.04537380486726761,0.04505288973450661,1834,3528,1834,3528,2494,0
0.5122764706611633,0.5138738751411438,0.0015974044799804688,0.06227461248636246,0.06219615042209625,1109,3017,1109,3017,2499,0
0.24086153507232666,0.21235372126102448,-0.028507813811302185,0.04056268185377121,0.03951899707317352,1322,4275,1322,4275,2500,0
0.45337650179862976,0.44462448358535767,-0.008752018213272095,0.04311413690447807,0.04276350140571594,3016,4220,3016,4220,2506,0
0.22494594752788544,0.23394523561000824,0.008999288082122803,0.05149659141898155,0.05032177269458771,425,3542,425,3542,2509,0
0.5160830616950989,0.48613429069519043,-0.029948770999908447,0.049924712628126144,0.04962367191910744,3328,3594,3328,3594,2522,0
0.5004087090492249,0.4811669886112213,-0.01924172043800354,0.052677057683467865,0.052705518901348114,6040,4728,6040,4728,2523,0
0.28397926688194275,0.2737639844417572,-0.010215282440185547,0.03865209221839905,0.037868302315473557,664,2591,664,2591,2532,0
0.16847221553325653,0.1662609726190567,-0.002211242914199829,0.02555738016963005,0.025402389466762543,1782,2518,1782,2518,2545,0
